 3081.3  8.4413  0.0655  8.2653
 3082.1  8.4346  0.0654  8.2787
 3082.8  8.3872  0.0651  8.2085
 3083.5  8.3775  0.0651  8.1890
 3084.2  8.3700  0.0650  8.1066
 3084.9  8.4135  0.0650  8.1889
 3085.6  8.4269  0.0650  8.2286
 3086.4  8.4095  0.0648  8.2102
 3087.1  8.4246  0.0650  8.2027
 3087.8  8.4624  0.0652  8.2717
 3088.5  8.4354  0.0652  8.1626
 3089.2  8.4305  0.0653  8.1336
 3089.9  8.4763  0.0654  8.1920
 3090.7  8.5068  0.0653  8.2390
 3091.4  8.4431  0.0650  8.2267
 3092.1  8.3615  0.0647  8.1177
 3092.8  8.4161  0.0650  8.1575
 3093.6  8.5037  0.0653  8.2766
 3094.3  8.4309  0.0652  8.1423
 3095.0  8.4089  0.0649  8.1272
 3095.7  8.4132  0.0648  8.1966
 3096.4  8.3865  0.0648  8.1664
 3097.1  8.4456  0.0650  8.2364
 3097.9  8.5036  0.0652  8.2932
 3098.6  8.4743  0.0651  8.2742
 3099.3  8.5140  0.0652  8.3336
 3100.0  8.5429  0.0654  8.3496
 3100.8  8.5159  0.0656  8.3496
 3101.5  8.4915  0.0656  8.3365
 3102.2  8.5660  0.0655  8.4314
 3102.9  8.5298  0.0654  8.3717
 3103.6  8.6323  0.0655  8.5255
 3104.4  8.6290  0.0671  8.5438
 3105.1  8.5598  0.0678  8.4128
 3105.8  8.5986  0.0662  8.4094
 3106.5  8.5582  0.0652  8.3303
 3107.2  8.5965  0.0658  8.4064
 3108.0  8.6499  0.0662  8.5220
 3108.7  8.5400  0.0657  8.4073
 3109.4  8.5428  0.0657  8.3776
 3110.1  8.6349  0.0653  8.4499
 3110.9  8.5871  0.0650  8.4409
 3111.6  8.5709  0.0649  8.4066
 3112.3  8.6205  0.0652  8.5304
 3113.0  8.5848  0.0652  8.5052
 3113.8  8.6580  0.0653  8.5938
 3114.5  8.7357  0.0656  8.5983
 3115.2  8.6414  0.0654  8.4423
 3115.9  8.7188  0.0654  8.5973
 3116.7  8.7293  0.0653  8.6835
 3117.4  8.6829  0.0657  8.6220
 3118.1  8.7825  0.0659  8.7536
 3118.8  8.8088  0.0661  8.7422
 3119.6  8.8086  0.0662  8.6952
 3120.3  8.8233  0.0657  8.9308
 3121.0  8.8270  0.0656  8.9538
 3121.7  8.8386  0.0665  9.0222
 3122.5  8.7495  0.0663  8.9166
 3123.2  8.7411  0.0657  8.8714
 3123.9  8.8519  0.0656  8.9914
 3124.6  8.8508  0.0657  8.9514
 3125.4  8.8840  0.0660  8.9619
 3126.1  8.8495  0.0658  8.8915
 3126.8  8.8854  0.0660  8.3242
 3127.6  8.9633  0.0659  8.8305
 3128.3  8.9242  0.0657  8.7910
 3129.0  8.6982  0.0632  8.8489
 3129.7  8.9982  0.0658  8.9362
 3130.5  8.9326  0.0656  8.9661
 3131.2  8.9679  0.0660  9.0323
 3131.9  9.0096  0.0666  8.9913
 3132.6  8.9513  0.0663  8.2156
 3133.4  8.9340  0.0653  8.5303
 3134.1  8.9026  0.0652  8.5082
 3134.8  8.8539  0.0650  8.4319
 3135.6  8.8873  0.0649  8.4237
 3136.3  8.8916  0.0648  8.4211
 3137.0  8.7478  0.0642  8.3145
 3137.8  8.7086  0.0640  8.3059
 3138.5  8.7906  0.0642  8.3902
 3139.2  8.7205  0.0638  8.3495
 3139.9  8.5787  0.0632  8.2025
 3140.7  8.6330  0.0633  7.7270
 3141.4  8.6251  0.0629  8.3442
 3142.1  8.6554  0.0634  8.3615
 3142.9  8.6936  0.0635  8.3970
 3143.6  8.6340  0.0634  8.3504
 3144.3  8.5922  0.0630  8.2961
 3145.1  8.6235  0.0632  8.3661
 3145.8  9.1898  0.0521  8.3311
 3146.5  8.6107  0.0623  8.3950
 3147.2  8.6403  0.0621  8.4124
 3148.0  8.6168  0.0623  8.3991
 3148.7  8.2462  0.0605  8.3483
 3149.4  8.5008  0.0619  8.4864
 3150.2  8.5598  0.0617  8.5267
 3150.9  8.5295  0.0613  8.4629
 3151.6  8.5576  0.0615  8.4927
 3152.4  8.5846  0.0609  8.5054
 3153.1  8.5427  0.0608  8.4522
 3153.9  8.5559  0.0606  8.4366
 3154.6  8.4976  0.0604  8.4232
 3155.3  8.4965  0.0603  8.4410
 3156.1  8.5340  0.0605  8.4513
 3156.8  8.5085  0.0604  8.4213
 3157.5  9.4059  0.0518  8.4182
 3158.2  8.5010  0.0597  8.4607
 3159.0  8.4297  0.0595  8.3045
 3159.7  8.4045  0.0593  8.2813
 3160.5  8.4336  0.0593  8.3124
 3161.2  8.4780  0.0596  8.3367
 3161.9  8.4540  0.0596  8.3095
 3162.7  8.4653  0.0597  8.4320
 3163.4  8.4794  0.0600  8.4133
 3164.1  8.5151  0.0603  8.3426
 3164.9  8.6025  0.0602  8.5659
 3165.6  8.5341  0.0600  8.4069
 3166.3  8.4837  0.0597  8.4089
 3167.1  8.5101  0.0598  8.4542
 3167.8  8.5798  0.0598  8.5645
 3168.6  8.5018  0.0598  8.5028
 3169.3  8.5085  0.0597  8.4882
 3170.0  8.5357  0.0603  8.4923
 3170.8  8.5029  0.0604  8.4896
 3171.5  8.5075  0.0604  8.5204
 3172.2  8.5227  0.0604  8.5142
 3173.0  8.5793  0.0605  8.5519
 3173.7  8.5795  0.0595  8.5887
 3174.5  8.5076  0.0591  8.5095
 3175.2  8.5511  0.0590  8.5482
 3175.9  8.4991  0.0590  8.5196
 3176.7  8.5176  0.0593  8.6134
 3177.4  8.5720  0.0602  8.6480
 3178.1  8.5521  0.0609  8.4656
 3178.9  8.5390  0.0608  8.5100
 3179.6  8.5906  0.0602  8.6330
 3180.4  8.5095  0.0593  8.5082
 3181.1  8.5118  0.0591  8.5048
 3181.9  8.6068  0.0594  8.6582
 3182.6  8.5855  0.0593  8.6362
 3183.3  8.5847  0.0592  8.6231
 3184.1  8.6081  0.0596  8.6566
 3184.8  8.6256  0.0597  8.6558
 3185.6  8.6483  0.0599  8.6614
 3186.3  8.6973  0.0599  8.7036
 3187.0  8.7399  0.0595  8.7537
 3187.8  8.7150  0.0593  8.7459
 3188.5  8.7431  0.0591  8.8447
 3189.3  8.6964  0.0591  8.7527
 3190.0  8.6630  0.0589  8.7315
 3190.7  8.7059  0.0590  8.8187
 3191.5  8.6584  0.0597  8.6818
 3192.2  8.7118  0.0595  8.7531
 3193.0  8.7038  0.0598  8.7326
 3193.7  8.7128  0.0597  8.7080
 3194.4  8.6394  0.0594  8.6738
 3195.2  8.6417  0.0592  8.6863
 3195.9  8.6395  0.0593  8.6448
 3196.7  8.5692  0.0590  8.6437
 3197.4  8.5550  0.0582  8.6769
 3198.2  8.6632  0.0585  8.7101
 3198.9  8.5902  0.0584  8.5908
 3199.7  8.5165  0.0583  8.5529
 3200.4  8.5339  0.0584  8.5544
 3201.1  8.5884  0.0584  8.5775
 3201.9  8.5791  0.0583  8.6142
 3202.6  8.6284  0.0584  8.7646
 3203.4  8.6624  0.0584  8.7229
 3204.1  8.5804  0.0582  8.6338
 3204.9  8.5739  0.0580  8.5958
 3205.6  8.5277  0.0577  8.5072
 3206.4  8.4958  0.0575  8.5001
 3207.1  8.4140  0.0574  8.4512
 3207.9  8.4428  0.0573  8.5226
 3208.6  8.4037  0.0569  8.4558
 3209.4  8.3415  0.0567  8.4501
 3210.1  8.3931  0.0569  8.5120
 3210.8  8.4844  0.0575  8.5952
 3211.6  8.4897  0.0575  8.5789
 3212.3  8.4774  0.0574  8.5427
 3213.1  8.5156  0.0573  8.6398
 3213.8  8.4802  0.0571  8.5622
 3214.6  8.4667  0.0571  8.5349
 3215.3  8.4268  0.0569  8.5089
 3216.1  8.4167  0.0567  8.2548
 3216.8  8.3776  0.0565  8.4778
 3217.6  8.4021  0.0565  8.4832
 3218.3  8.4424  0.0565  8.5344
 3219.1  8.3376  0.0562  8.4283
 3219.8  8.3753  0.0563  8.4393
 3220.6  8.3821  0.0563  8.4453
 3221.3  8.3371  0.0560  7.8502
 3222.1  8.1897  0.0546  8.2673
 3222.8  8.1255  0.0544  8.1326
 3223.6  8.1850  0.0545  8.2078
