# wl wmean ewmean
1.103330352228516404e+03 4.713886115923512143e+00 5.009475269693799415e-01
1.103730352228516495e+03 4.703644495580606488e+00 4.992288628532517425e-01
1.104130352228516585e+03 4.706690313435962558e+00 4.964583201095856824e-01
1.104530352228516449e+03 4.707628657037646214e+00 5.042187386114269643e-01
1.104930352228516313e+03 4.719113626809745554e+00 5.062840093952888365e-01
1.105330352228516404e+03 4.680721486678801391e+00 4.867138030889693323e-01
1.105730352228516495e+03 4.732922352978217617e+00 5.184560196275276311e-01
1.106130352228516358e+03 4.736382467349263159e+00 5.221998709434820807e-01
1.106530352228516222e+03 4.715193653379759375e+00 4.982740466225855092e-01
1.106930352228516313e+03 4.759948683524763524e+00 5.284368072847709374e-01
1.107330352228516404e+03 4.766723747108733811e+00 5.187697072201606918e-01
1.107730352228516267e+03 4.806377785838454209e+00 5.258199289306977331e-01
1.108130352228516131e+03 4.798648084424231186e+00 4.909897363512005786e-01
1.108530352228516222e+03 4.837682925785864008e+00 4.913936315719000247e-01
1.108930352228516313e+03 4.883570679659545277e+00 5.001638050818910664e-01
1.109330352228516176e+03 4.944112231365839882e+00 5.482384016004197003e-01
1.109730352228516040e+03 5.004776792199283619e+00 5.376103709141457632e-01
1.110130352228516131e+03 5.043817124624787596e+00 5.427887833721349864e-01
1.110530352228516222e+03 5.051051122620270561e+00 5.486789072488130747e-01
1.110930352228516085e+03 5.083729905522715420e+00 5.449368379938835938e-01
1.111330352228515949e+03 5.097575125430036103e+00 5.508728251611624271e-01
1.111730352228516040e+03 5.090743628967249634e+00 5.564072121052175968e-01
1.112130352228516131e+03 5.085297639880076659e+00 5.497872491191626576e-01
1.112530352228515994e+03 5.087457310977337777e+00 5.583815464426657993e-01
1.112930352228515858e+03 5.069051988794020858e+00 5.661538249117484822e-01
1.113330352228515949e+03 5.065678725384474390e+00 5.683032369661913386e-01
1.113730352228516040e+03 5.028190736073307576e+00 5.704056631864949933e-01
1.114130352228515903e+03 5.040266923002007182e+00 5.684334326649822522e-01
